age,education,workclass,occupation,marital-status,gender,native-country,hours-per-week,salary
26,Masters,Govt,Support,Divorced,Male,Others,21,39330
44,PhD,Govt,Management,Married,Male,USA,25,72690
22,PhD,Private,Management,Married,Female,USA,55,53510
37,PhD,Self-employed,Support,Divorced,Female,USA,51,59129
50,Masters,Govt,IT,Single,Male,India,47,63030
50,Masters,Self-employed,Management,Single,Female,Others,25,65210
30,PhD,Govt,Management,Single,Male,India,58,61180
62,PhD,Private,Sales,Married,Male,India,35,80710
47,Bachelors,Govt,Sales,Single,Male,Others,60,47240
58,Bachelors,Govt,Management,Single,Female,India,48,61800
55,Masters,Govt,Sales,Single,Female,Canada,55,61910
44,HS-grad,Govt,Sales,Single,Male,USA,60,36440
44,Bachelors,Self-employed,Management,Divorced,Female,USA,60,53160
37,Bachelors,Govt,IT,Single,Male,India,46,45080
29,Bachelors,Self-employed,Support,Single,Male,India,26,34240
42,Bachelors,Govt,IT,Divorced,Male,India,20,46880
49,Bachelors,Self-employed,Management,Divorced,Male,Canada,20,54460
28,Masters,Govt,IT,Single,Male,India,50,46900
39,Masters,Private,Management,Single,Female,India,47,57730
57,Bachelors,Self-employed,Support,Single,Male,USA,33,49710
41,HS-grad,Private,Management,Divorced,Male,USA,43,41570
50,HS-grad,Self-employed,Support,Single,Male,Canada,26,35740
27,Masters,Self-employed,IT,Married,Female,Canada,34,45360
36,HS-grad,Private,IT,Married,Male,India,26,35300
64,HS-grad,Self-employed,IT,Married,Female,USA,43,50150
26,PhD,Govt,Sales,Single,Female,USA,23,49870
45,Masters,Govt,Management,Divorced,Female,India,54,62760
32,HS-grad,Govt,Sales,Single,Female,USA,24,29360
51,Masters,Govt,IT,Married,Female,USA,38,63320
19,Bachelors,Govt,Management,Single,Male,USA,36,35460
38,Bachelors,Self-employed,IT,Single,Female,Others,51,45950
31,PhD,Private,IT,Married,Female,India,48,59100
40,Bachelors,Self-employed,Sales,Married,Female,Others,22,41420
45,Bachelors,Govt,Management,Single,Male,Canada,50,53320
43,PhD,Govt,Sales,Married,Female,Canada,25,64250
34,HS-grad,Self-employed,Support,Divorced,Female,USA,49,30170
53,Bachelors,Govt,Management,Married,Female,USA,49,58550
29,PhD,Govt,Support,Single,Female,Canada,39,51970
40,Masters,Self-employed,Sales,Divorced,Female,India,52,51560
51,PhD,Private,Management,Single,Male,USA,39,79970
64,PhD,Private,IT,Single,Female,USA,54,89100
26,HS-grad,Govt,Support,Divorced,Male,Others,48,26760
35,Bachelors,Govt,Support,Married,Female,India,52,38780
26,HS-grad,Self-employed,IT,Single,Female,Others,55,31749
48,HS-grad,Self-employed,Sales,Married,Male,India,33,36850
19,Bachelors,Self-employed,Support,Single,Male,Canada,35,29290
29,HS-grad,Self-employed,IT,Married,Female,India,57,33350
61,Bachelors,Self-employed,Management,Married,Female,USA,29,62829
49,Bachelors,Private,Support,Married,Male,India,32,45340
59,Bachelors,Self-employed,Sales,Divorced,Male,Others,44,53160
63,HS-grad,Self-employed,Management,Single,Female,USA,27,52650
18,Masters,Govt,Sales,Single,Male,USA,28,35400
29,PhD,Govt,Management,Divorced,Female,India,34,59040
41,Masters,Govt,Management,Married,Female,India,46,59240
51,Masters,Private,Management,Divorced,Male,India,22,65840
26,PhD,Private,IT,Single,Female,Others,48,54600
27,Masters,Govt,Support,Married,Female,India,41,40990
42,HS-grad,Self-employed,Sales,Single,Female,Others,41,34610
40,PhD,Private,Sales,Married,Female,Others,28,61880
42,Bachelors,Private,Management,Single,Female,USA,47,51190
22,Masters,Govt,IT,Divorced,Female,India,43,42110
28,PhD,Self-employed,Management,Single,Male,India,54,59100
62,Bachelors,Self-employed,Management,Married,Female,Others,28,63440
57,HS-grad,Govt,Management,Single,Female,Canada,48,50460
29,HS-grad,Self-employed,IT,Divorced,Female,India,25,31750
29,HS-grad,Private,Sales,Single,Male,USA,36,28640
62,Masters,Govt,IT,Divorced,Male,India,38,71460
61,Masters,Private,Management,Married,Male,Others,37,74390
30,PhD,Private,IT,Divorced,Female,USA,38,57700
30,Masters,Private,Support,Divorced,Male,Others,31,42470
49,Masters,Self-employed,Management,Divorced,Male,Canada,37,65030
59,HS-grad,Private,Sales,Single,Male,India,23,41190
23,Bachelors,Govt,Sales,Single,Male,Canada,58,33700
19,PhD,Govt,Sales,Single,Female,Canada,55,45590
63,HS-grad,Govt,Management,Single,Male,India,51,53850
27,PhD,Self-employed,IT,Single,Male,India,36,54900
63,PhD,Govt,Support,Single,Female,India,24,79100
55,Bachelors,Govt,Support,Divorced,Female,India,27,48330
36,Masters,Govt,Management,Divorced,Male,India,48,55439
18,HS-grad,Self-employed,Support,Divorced,Female,Canada,51,23550
40,HS-grad,Govt,Management,Married,Male,USA,20,39880
24,PhD,Govt,IT,Married,Male,USA,47,52750
35,Masters,Govt,IT,Single,Male,USA,43,51730
18,Bachelors,Private,IT,Married,Male,USA,22,32100
54,Masters,Govt,Support,Married,Female,Others,28,58160
52,PhD,Private,Support,Single,Female,India,57,71730
60,Bachelors,Private,IT,Single,Female,India,47,59389
56,Masters,Govt,Management,Single,Male,Canada,52,71240
64,HS-grad,Govt,IT,Divorced,Male,Others,51,50550
39,Bachelors,Private,Support,Married,Female,Canada,28,39740
45,Bachelors,Govt,IT,Divorced,Female,India,53,50390
40,Masters,Private,Sales,Divorced,Male,USA,50,51460
24,PhD,Govt,Sales,Divorced,Male,Canada,42,49140
25,HS-grad,Self-employed,Support,Single,Male,India,51,26490
41,PhD,Govt,Support,Divorced,Female,Canada,58,62760
62,Masters,Self-employed,IT,Married,Male,USA,55,72310
46,Masters,Govt,IT,Divorced,Female,Canada,33,59370
51,Masters,Self-employed,IT,Married,Male,India,22,62520
26,Bachelors,Self-employed,Management,Divorced,Female,Others,38,40180
43,PhD,Self-employed,Sales,Single,Male,USA,40,65000
38,PhD,Self-employed,IT,Divorced,Female,USA,31,64549
49,Bachelors,Self-employed,IT,Married,Male,India,41,52270
48,PhD,Self-employed,Sales,Single,Female,Canada,35,68950
54,HS-grad,Govt,IT,Divorced,Female,India,33,44650
45,HS-grad,Private,Support,Married,Female,Canada,23,33490
59,Bachelors,Private,Support,Divorced,Female,Others,55,51890
48,PhD,Govt,IT,Married,Male,USA,31,73550
24,Masters,Self-employed,Sales,Divorced,Female,Others,60,41080
36,Masters,Private,Management,Married,Male,Others,27,54389
30,Masters,Self-employed,Support,Divorced,Male,India,47,43270
49,PhD,Govt,Sales,Single,Male,Others,23,69190
41,Bachelors,Self-employed,Support,Divorced,Male,India,57,42270
30,HS-grad,Govt,IT,Divorced,Female,India,22,32100
30,HS-grad,Govt,Sales,Married,Female,India,45,29530
18,Masters,Private,IT,Married,Female,Canada,36,38800
60,PhD,Self-employed,Sales,Single,Female,Canada,25,78530
39,PhD,Private,Management,Married,Male,Others,56,69540
38,PhD,Govt,IT,Divorced,Female,Canada,24,64199
31,Masters,Govt,Management,Married,Female,India,34,50840
63,HS-grad,Private,Support,Single,Male,India,46,42200
34,PhD,Self-employed,Support,Divorced,Male,Canada,43,56270
35,Bachelors,Self-employed,IT,Single,Male,Canada,33,43190
48,Bachelors,Govt,Sales,Single,Male,Canada,21,45850
64,PhD,Self-employed,Management,Divorced,Male,Canada,30,91740
32,Bachelors,Govt,Sales,Divorced,Female,Canada,23,36990
46,Masters,Govt,Management,Divorced,Male,India,47,63190
41,HS-grad,Govt,Sales,Married,Male,USA,31,33670
61,Masters,Private,Sales,Single,Male,Canada,49,65690
33,HS-grad,Govt,IT,Single,Female,Others,20,33500
38,Masters,Govt,Management,Married,Female,Others,51,57150
22,PhD,Private,Support,Single,Female,Others,25,45530
61,PhD,Private,IT,Married,Female,USA,35,85450
40,PhD,Private,Sales,Divorced,Male,India,37,62330
40,Bachelors,Govt,Support,Divorced,Male,India,56,41680
26,Masters,Private,Support,Single,Male,India,34,39980
22,Bachelors,Govt,IT,Divorced,Male,Canada,46,35780
65,PhD,Private,Support,Married,Male,India,22,80640
37,Masters,Self-employed,Management,Single,Male,USA,39,55769
43,HS-grad,Govt,Management,Divorced,Female,USA,25,41750
21,Bachelors,Self-employed,Support,Divorced,Female,USA,43,30770
44,Masters,Self-employed,Support,Divorced,Male,Canada,54,52860
37,HS-grad,Govt,Management,Married,Female,Canada,53,39910
56,HS-grad,Private,Support,Divorced,Female,USA,25,38210
33,Bachelors,Govt,IT,Single,Male,Others,59,43250
51,HS-grad,Private,Sales,Married,Male,Canada,35,38270
47,Bachelors,Govt,Sales,Divorced,Female,Others,60,47240
26,Bachelors,Govt,Sales,Single,Male,Others,20,33480
56,HS-grad,Govt,Support,Divorced,Female,USA,47,39310
38,HS-grad,Govt,Support,Married,Female,Others,31,30949
62,HS-grad,Govt,IT,Divorced,Male,Canada,39,48950
56,Bachelors,Self-employed,Sales,Married,Female,Canada,39,51230
65,HS-grad,Self-employed,Management,Divorced,Female,India,56,55180
21,Bachelors,Self-employed,IT,Divorced,Male,Canada,55,35610
64,PhD,Govt,Support,Married,Female,Canada,45,80970
25,PhD,Self-employed,IT,Single,Male,India,34,53000
59,HS-grad,Self-employed,IT,Married,Female,Canada,30,47000
39,Masters,Self-employed,Support,Divorced,Female,Canada,48,49260
43,Bachelors,Self-employed,Support,Divorced,Male,Canada,51,43050
50,Bachelors,Private,Sales,Married,Male,USA,51,48470
44,HS-grad,Private,Support,Divorced,Female,Canada,55,34670
30,Masters,Private,Sales,Married,Female,Others,47,44510
47,Masters,Govt,Support,Single,Female,Others,53,54790
52,HS-grad,Private,Management,Married,Female,Canada,39,47310
49,Bachelors,Govt,Support,Single,Male,Others,39,45690
39,HS-grad,Govt,IT,Married,Female,Canada,50,38000
28,HS-grad,Self-employed,Sales,Divorced,Female,Others,58,29300
53,Bachelors,Self-employed,Sales,Single,Male,USA,60,50600
50,HS-grad,Self-employed,IT,Single,Male,Canada,57,43850
62,Bachelors,Private,Management,Divorced,Female,Canada,53,64690
43,Bachelors,Self-employed,IT,Single,Female,Others,45,48750
29,Masters,Govt,Support,Married,Female,India,22,41360
29,Bachelors,Self-employed,Support,Divorced,Female,Canada,50,35440
57,PhD,Self-employed,Management,Divorced,Female,India,37,85510
20,PhD,Self-employed,IT,Divorced,Male,Canada,22,47900
35,PhD,Govt,IT,Married,Female,India,43,62450
29,HS-grad,Govt,IT,Divorced,Male,India,37,32350
42,Masters,Self-employed,IT,Married,Female,Canada,50,57260
25,Masters,Private,Sales,Divorced,Female,Canada,53,41410
28,PhD,Govt,Sales,Married,Male,India,60,53400
48,Bachelors,Self-employed,Management,Divorced,Male,India,54,55500
40,HS-grad,Govt,Support,Divorced,Female,Canada,34,31940
53,HS-grad,Self-employed,Support,Divorced,Male,Canada,46,38000
57,Masters,Govt,Management,Single,Male,India,53,72070
39,PhD,Self-employed,Support,Divorced,Male,Canada,49,60670
22,Bachelors,Self-employed,Sales,Divorced,Male,Canada,21,31290
24,HS-grad,Private,IT,Married,Male,Others,35,29750
30,Masters,Govt,Management,Divorced,Male,Canada,54,51060
38,Masters,Govt,Sales,Married,Female,USA,55,50350
61,Masters,Self-employed,Support,Divorced,Female,India,22,62479
27,Bachelors,Self-employed,Sales,Married,Female,Others,27,34390
40,HS-grad,Govt,IT,Married,Male,Canada,36,37800
62,Masters,Govt,IT,Single,Female,USA,28,70960
24,PhD,Self-employed,Support,Married,Female,Canada,43,48070
35,Masters,Self-employed,IT,Married,Female,India,30,51080
52,HS-grad,Private,IT,Single,Male,USA,35,43750
26,Masters,Self-employed,IT,Single,Female,India,30,44420
22,PhD,Govt,IT,Divorced,Male,India,22,49700
50,Masters,Private,IT,Married,Male,Others,52,63280
26,Masters,Private,IT,Divorced,Female,Others,33,44570
48,HS-grad,Private,Support,Divorced,Female,USA,22,34700
31,Bachelors,Private,Management,Married,Female,Canada,29,43030
33,HS-grad,Self-employed,Sales,Single,Female,Others,48,31000
52,HS-grad,Govt,Management,Single,Male,Canada,37,47210
65,HS-grad,Govt,Management,Married,Female,USA,35,54130
21,Bachelors,Govt,Sales,Single,Female,USA,32,31280
46,HS-grad,Self-employed,Management,Single,Male,Canada,21,43170
47,Masters,Private,IT,Married,Male,Canada,34,60160
44,HS-grad,Govt,IT,Married,Male,Others,37,39850
29,Masters,Self-employed,Sales,Divorced,Female,Others,46,43780
22,Bachelors,Govt,Sales,Single,Female,Canada,29,31690
